Year,Ref_Area_Code,Reference_Area,Economic_Activity_Code,Economic_Activity,Capital_Deepening_Growth_kserhrs,Capital_Services_Growth_kser,Gross_Value_Added_gva,Hours_hrsto,Total_Labour_Compensation_lctot,sL,sK,log_share_ratio,dy,gK,gH,dx,dx_oecd_direct,dx_gap_check,country_sector
2012,FRA,France,C,Manufacturing,1.035933966,-0.051360439,213988.4,4421.04,146298.4911,0.6836748678900353,0.3163251321099647,0.7707118815557245,0.03669743178774931,-0.00051360439,-0.010872944055572376,0.010359339665572375,0.01035933966,5.5723758940473544e-12,France | C
2013,FRA,France,C,Manufacturing,2.026483047,-0.143236222,217407.1,4326.149,147890.9786,0.680249074662235,0.31975092533776495,0.7549166829755348,-0.01579519858018963,-0.00143236222,-0.021697192688835187,0.020264830468835187,0.020264830470000002,-1.1648147724141467e-12,France | C
2014,FRA,France,C,Manufacturing,0.91357422,0.373881986,219282.3,4302.864,149867.2755,0.6834444708943677,0.31655552910563234,0.7696467369667656,0.01473005399123073,0.00373881986,-0.0053969223404912725,0.009135742200491272,0.0091357422,4.912719536731558e-13,France | C
2015,FRA,France,C,Manufacturing,1.697489976,0.447584931,227182.7,4249.417,151943.4942,0.6688163059951306,0.33118369400486936,0.7028362542248296,-0.0668104827419359,0.00447584931,-0.012499050444423787,0.01697489975442379,0.01697489976,-5.576209632929263e-12,France | C
2016,FRA,France,C,Manufacturing,0.994801462,0.560600741,226869.6,4231.006,152537.752,0.6723587117886222,0.32764128821137783,0.7188726189797824,0.016036364754952737,0.00560600741,-0.004342007214791721,0.00994801462479172,0.009948014619999999,4.7917208395587e-12,France | C
2017,FRA,France,C,Manufacturing,2.105904237,0.371019841,229398.4,4158.236,155381.2445,0.6773423201731137,0.3226576798268863,0.7415848414699402,0.022712222490157807,0.00371019841,-0.01734884395949088,0.02105904236949088,0.02105904237,-5.091205235174812e-13,France | C
2018,FRA,France,C,Manufacturing,0.385567102,1.27074083,232856.0,4195.207,158242.9925,0.6795744687703988,0.32042553122960116,0.751816923562228,0.010232082092287764,0.0127074083,0.008851737277558058,0.003855671022441942,0.00385567102,2.4419420478760667e-12,France | C
2019,FRA,France,C,Manufacturing,-1.538623746,1.246754754,241054.8,4313.702,156701.4856,0.6500658173991973,0.34993418260080267,0.6193285282128081,-0.1324883953494198,0.012467547539999999,0.027853784999203768,-0.01538623745920377,-0.01538623746,7.962311365794505e-13,France | C
2020,FRA,France,C,Manufacturing,8.861062285,-0.398677962,214340.1,3932.2,146626.0138,0.6840811112806235,0.31591888871937646,0.7725909949648145,0.1532624667520064,-0.00398677962,-0.0925974024674101,0.0886106228474101,0.08861062284999999,-2.5898866384821417e-12,France | C
2021,FRA,France,C,Manufacturing,-7.405864282,0.274650321,228132.6,4246.114,156580.2136,0.686356152518316,0.31364384748168395,0.7831385672913996,0.010547572326585097,0.0027465032099999996,0.07680514602825816,-0.07405864281825816,-0.07405864281999999,1.741828903334408e-12,France | C
2022,FRA,France,C,Manufacturing,-1.100832399,0.968093111,246857.9,4334.878,165352.8269,0.6698299989589152,0.33017000104108485,0.7074162708083657,-0.07572229648303397,0.009680931109999999,0.020689255095057035,-0.011008323985057036,-0.011008323989999999,4.9429627058117376e-12,France | C
2000,FRA,France,B,Mining and quarrying,0.425457597,-2.679669705,2032.6,44.644,982.023477,0.4831366117288202,0.5168633882711797,-0.06747914659119642,,-0.02679669705,,,0.0042545759700000005,,France | B
2001,FRA,France,B,Mining and quarrying,25.10350683,-3.027603886,2083.4,33.697,990.1871322,0.47527461466833054,0.5247253853316695,-0.09898227705897517,-0.03150313046777875,-0.03027603886,-0.28131110716924956,0.25103506830924954,0.2510350683,9.249545573908335e-12,France | B
2002,FRA,France,B,Mining and quarrying,-0.35111788,-3.636233438,2121.1,32.608,998.8909168,0.4709306099665268,0.5290693900334732,-0.11640883709075003,-0.017426560031774868,-0.03636233438,-0.03285115558390439,-0.00351117879609561,-0.0035111788,3.904390265957458e-12,France | B
2003,FRA,France,B,Mining and quarrying,-6.553357673,-5.415959569,1948.4,32.981,999.1440481,0.5128023240094436,0.4871976759905564,0.05122049134590148,0.16762932843665151,-0.05415959569,0.011373981038367287,-0.0655335767283673,-0.06553357673,1.632707857801563e-12,France | B
2004,FRA,France,B,Mining and quarrying,-7.091890139,-5.098608282,1887.8,33.645,1003.188301,0.5314060287106686,0.46859397128933145,0.12578971759474347,0.07456922624884199,-0.05098608282,0.019932818561599674,-0.07091890138159967,-0.07091890139,8.400322104584745e-12,France | B
2005,FRA,France,B,Mining and quarrying,-3.851881319,-4.651622981,2052.1,33.377,977.5262936,0.4763541219238829,0.5236458780761171,-0.09465411940682232,-0.22044383700156578,-0.046516229810000004,-0.007997416621671416,-0.03851881318832859,-0.03851881319,1.6714130079975575e-12,France | B
2006,FRA,France,B,Mining and quarrying,-2.21095998,-3.680797961,2210.0,32.89,1003.199857,0.453936586877828,0.546063413122172,-0.18477759844530667,-0.09012347903848435,-0.03680797961,-0.014698379817644103,-0.022109599792355897,-0.0221095998,7.644104099702176e-12,France | B
2007,FRA,France,B,Mining and quarrying,-4.94849741,-3.364873334,2459.2,33.415,1034.529677,0.4206773247397528,0.5793226752602472,-0.3199935295933112,-0.1352159311480045,-0.03364873334,0.0158362407620678,-0.0494849741020678,-0.049484974099999995,-2.067804261152162e-12,France | B
2008,FRA,France,B,Mining and quarrying,-7.674361567,-3.823103426,2485.3,34.727,1050.512154,0.42269028044904033,0.5773097195509597,-0.3117391848084029,0.008254344784908274,-0.03823103426,0.038512581411191515,-0.0767436156711915,-0.07674361567,-1.1915052278155258e-12,France | B
2009,FRA,France,B,Mining and quarrying,-1.390208709,-4.939663272,2327.5,33.516,1015.081984,0.4361254496240602,0.5638745503759398,-0.25690186788705666,0.054837316921346246,-0.04939663272,-0.035494545623185214,-0.013902087096814786,-0.01390208709,-6.81478658226542e-12,France | B
