country_id,country_name,year,gva_nom_nc,lctot_nom_nc,gva_ph_real_nc,gva_ph_nom_nc,lc_ph_nom_nc,ulc_index,ulc_nom_nc,ln_gva_ph_real,ln_gva_ph_nom,ln_lc_ph_nom,ln_ulc_nom,g_prod_real,g_prod_nom,g_p_output,g_lc_nom,g_w_real_output,g_ulc_nom,g_ulc_identity,g_ulc_gap_check,labour_share,ln_labour_share,dln_labour_share,ulc_index_rebased,labour_share_index,prod_index,w_real_output_index,gap_firm,gap_from_ls
ITA,Italy,1981,239744.627,175853.1269,26.5480393,6.153818177,4.513837005,116.7732479,0.733501848,3.2789558956200846,1.8170727309645107,1.5071475689706995,-0.3099251619748716,0.0057827252674793606,0.18290709514179593,0.17712436987431657,0.20201615375695559,0.024891783882639018,0.019109059393063788,0.19623342848947622,-0.17712436909641244,0.7335018477807221,-0.3099251622738181,0.019109058685582436,101.9292805550779,101.92928052895661,100.0,100.0,0.0,0.3099251622738181
ITA,Italy,1982,281313.12,205257.2643,26.46265421,7.16219825,5.225825298,116.15842,0.729639856,3.2757344639357373,1.968816952008549,1.6536127371481422,-0.3152042145210437,-0.003221431684347298,0.15174422104403829,0.15496565272838558,0.1464651681774427,-0.008500484550942877,-0.005279052546172114,0.14968659986179,-0.15496565240796212,0.7296398557593048,-0.3152042148509259,-0.005279052577107812,101.39260827234875,101.3926083046907,99.67837515593854,99.15355424133683,0.005279052866595357,0.3152042148509259
ITA,Italy,1983,325173.18,239916.1205,26.71831334,8.255465375,6.09096736,117.4591515,0.737810297,3.2853492231730788,2.1108754507073733,1.8068069131140003,-0.30406853756021457,0.009614759237341453,0.14205849869882425,0.1324437394614828,0.15319417596585816,0.020750436504375358,0.011135676960829122,0.1435794167285167,-0.13244373976768758,0.7378102969623755,-0.30406853761120933,0.01113567723971659,102.52799354572804,102.52799357461589,100.64138084954546,101.23252899294324,-0.005856624400438548,0.30406853761120933
ITA,Italy,1984,372113.087,268345.7609,27.75831721,9.500277135,6.851033154,114.8053012,0.721140348,3.3235355145648726,2.2513209702862604,1.9243994663025863,-0.3269215032202356,0.03818629139179386,0.14044551957888718,0.10225922818709332,0.11759255318858597,0.015333325001492648,-0.02285296566002104,0.07940626179679211,-0.10225922745681315,0.7211403475847115,-0.32692150379611323,-0.0228529661849039,100.21149506131893,100.21149505227353,104.55882220273797,102.79672175224871,0.016996341989862884,0.32692150379611323
ITA,Italy,1985,418440.651,297770.2618,28.34023951,10.60279311,7.545147619,113.2894846,0.711618867,3.3442826855323973,2.3611174673511415,2.0209046571708957,-0.34021281005120824,0.020747170967524653,0.10979649706488104,0.08904932609735638,0.09650519086830944,0.007455864770953058,-0.013291306830972627,0.07575801990078479,-0.08904932673175742,0.7116188665904737,-0.3402128106266937,-0.01329130683058044,98.88836584919187,98.88836586009879,106.75078181762373,103.5660245535713,0.0302876481864347,0.3402128106266937
ITA,Italy,1986,461654.98,321201.0824,28.78776318,11.56538105,8.046729859,110.764763,0.695760029,3.359950407267411,2.448016243692275,2.0852657802015906,-0.3627504640195887,0.01566772173501363,0.08689877634113374,0.07123105460612011,0.06436112303069486,-0.006869931575425259,-0.022537653968380478,0.04869340129568123,-0.0712310552640617,0.6957600292755426,-0.3627504636235577,-0.022537652996864,96.68458149859948,96.68458153095564,108.43649451731827,102.85697141332929,0.052825301496873145,0.3627504636235577
ITA,Italy,1987,501524.582,348446.1761,29.34885928,12.40850922,8.621108008,110.6077672,0.694773873,3.3792536794199917,2.5183824646839716,2.154213615626282,-0.36416884894916424,0.019303272152580764,0.07036622099169643,0.05106294883911566,0.0689478354246913,0.017884886585575632,-0.0014183849295755224,0.04964456327211053,-0.051062948201686054,0.6947738727191641,-0.3641688493533762,-0.0014183857298185054,96.5475426713685,96.54754271014735,110.55000690766643,104.71310557970857,0.054243687063878276,0.3641688493533762
ITA,Italy,1988,553871.034,382050.5585,30.20258304,13.53185078,9.334034152,109.8131458,0.689782522,3.4079274518490736,2.6050462236628644,2.2336673064024386,-0.37137891657946986,0.02867377242908198,0.08666375897889278,0.0579899865498108,0.07945369077615672,0.021463704226345914,-0.007210067630305628,0.05077991834707474,-0.057989985977380365,0.689782521647449,-0.3713789170905744,-0.007210067737198234,95.85393185662925,95.85393188265364,113.76577644285769,106.98493037756022,0.061453755266613896,0.3713789170905744
ITA,Italy,1989,607815.904,415905.9923,31.29525597,14.87393032,10.17768161,108.9344551,0.684263096,3.4434665196050775,2.6996100375854506,2.3201972455000983,-0.3794127920409933,0.035539067756003906,0.09456381392258617,0.059024746166582265,0.08652993909765971,0.02750519293107745,-0.008033875461523454,0.05099087134165581,-0.05902474680317926,0.6842630960508727,-0.3794127919666467,-0.008033874876072267,95.08693845281353,95.08693847739596,117.88160932095651,109.96841408553588,0.06948763009154124,0.3794127919666467
ITA,Italy,1990,669446.325,463226.6308,31.57409442,16.21783491,11.22200951,110.1589796,0.691954849,3.452336987540232,2.786111557040292,2.417876984770945,-0.36823457260297926,0.008870467935154558,0.08650151945484152,0.07763105151968697,0.09767973927084661,0.020048687751159644,0.011178219438014059,0.08880927133569205,-0.077631051897678,0.6919548491060878,-0.3682345724496632,0.0111782195169835,96.15580399823325,96.15580402599218,118.93192586919217,112.19538581872962,0.05830941027553571,0.3682345724496632
