Year,Reference_Area_Code,Reference_Area,Gross_Value_Added_gva,Total_Labour_Compensation_lctot,Capital_Deepening_Growth_kserhrs,Capital_Services_Growth_kser,Hours_hrsto,sL,sK,log_share_ratio,dy,gK,gH,dx,dx_oecd_direct,dx_gap_check
2012,CAN,Canada,1710425.0,1010638.47,1.484497125,3.315681241,30758.606,0.5908697955186576,0.4091302044813424,0.36756222723678644,0.033759003869529514,0.03315681241,0.018311841160427278,0.014844971249572722,0.01484497125,-4.272780046443714e-13
2013,CAN,Canada,1781916.0,1051808.816,2.17030573,3.101048739,31046.226,0.5902684615885373,0.4097315384114627,0.36507529218014595,-0.0024869350566404935,0.031010487389999997,0.00930743008352053,0.021703057306479468,0.0217030573,6.479469738529531e-12
2014,CAN,Canada,1867754.0,1088482.006,3.61197222,3.639662573,31054.824,0.5827758933992379,0.41722410660076215,0.3341792067079398,-0.030896085472206125,0.03639662573,0.0002769035323861857,0.036119722197613814,0.0361197222,-2.386188469039041e-12
2015,CAN,Canada,1856816.0,1119193.864,0.161518925,1.11021554,31350.842,0.6027489336584778,0.3972510663415222,0.41693225821069724,0.08275305150275741,0.0111021554,0.00948696614163147,0.001615189258368531,0.00161518925,8.368530911642691e-12
2016,CAN,Canada,1886105.0,1116677.772,-0.588854424,-0.103914436,31503.244,0.5920549343753397,0.40794506562466026,0.37246690286964046,-0.04446535534105678,-0.00103914436,0.004849399883585903,-0.005888544243585903,-0.00588854424,-3.585903275704627e-12
2017,CAN,Canada,1991536.0,1160602.32,-0.866464418,0.720220943,32007.088,0.582767431771256,0.417232568228744,0.33414440651078936,-0.0383224963588511,0.007202209429999999,0.01586685361615281,-0.008664644186152811,-0.00866464418,-6.152810899662242e-12
2018,CAN,Canada,2083380.0,1220996.238,-0.983978301,1.448768525,32795.288,0.586065066382513,0.413934933617487,0.3477220218971309,0.013577615386341557,0.01448768525,0.024327468261413188,-0.009839783011413188,-0.00983978301,-1.413187275534078e-12
2019,CAN,Canada,2161925.0,1271415.908,-0.155240364,1.419156721,33315.702,0.5880943640505568,0.4119056359494432,0.3560931339433369,0.008371112046205997,0.01419156721,0.015743970848234312,-0.0015524036382343117,-0.00155240364,1.7656882900229931e-12
2020,CAN,Canada,2083991.0,1240008.811,12.82831135,0.226127194,29370.976,0.5950163945045828,0.40498360549541723,0.38474237292628355,0.028649238982946634,0.00226127194,-0.12602184153519858,0.12828311347519858,0.1282831135,-2.480141092497945e-11
2021,CAN,Canada,2366372.0,1359409.908,39.45267661,49.34959341,32426.505,0.574470078246362,0.425529921753638,0.3001127458742028,-0.08462962705208077,0.4934959341,0.09896916808209433,0.39452676601790565,0.3945267661,-8.209433133288258e-11
2022,CAN,Canada,2674953.0,1484029.183,-3.59283305,1.213502551,34023.093,0.5547870123325531,0.4452129876674469,0.2200314868940413,-0.08008125898016147,0.01213502551,0.04806335601382372,-0.03592833050382372,-0.0359283305,-3.823719119111502e-12
2000,FRA,France,1319254.3,896281.0577,1.18178315,2.478479679,39617.701,0.6793846021195459,0.3206153978804541,0.7509451241847722,,0.024784796789999997,,,0.0118178315,
2001,FRA,France,1373817.1,932213.4996,2.246039363,2.43150147,39691.245,0.6785572108543415,0.3214427891456585,0.7471492172661766,-0.0037959069185956595,0.024315014700000002,0.0018546210683538789,0.022460393631646123,0.02246039363,1.6461242091647676e-12
2002,FRA,France,1417481.7,968625.7992,3.683700898,1.95957106,39012.782,0.6833427191335169,0.31665728086648315,0.7691764625691359,0.022027245302959297,0.0195957106,-0.01724129838260957,0.03683700898260957,0.03683700898,2.6095653415936226e-12
2003,FRA,France,1457776.7,997898.4016,1.673195787,1.951590898,39121.543,0.6845344706085644,0.3154655293914356,0.7746895833422635,0.0055131207731276,0.01951590898,0.002783951105866933,0.016731957874133067,0.01673195787,4.133065417688542e-12
2004,FRA,France,1521910.0,1033416.287,0.282973662,2.004318571,39800.789,0.679025886550453,0.32097411344954696,0.7492987749351951,-0.02539080840706831,0.02004318571,0.017213449085440757,0.002829736624559244,0.0028297366200000004,4.559243607649144e-12
2005,FRA,France,1579667.7,1072227.728,1.18729027,1.962343932,40110.465,0.6787679003628421,0.32123209963715793,0.7481153297592051,-0.0011834451759900055,0.01962343932,0.007750536619184345,0.011872902700815657,0.0118729027,8.156565700634388e-13
2006,FRA,France,1649439.9,1118479.734,2.079530513,2.160202588,40142.836,0.6780966884577001,0.3219033115422999,0.7450386603779072,-0.003076669381297914,0.02160202588,0.0008067207542179489,0.02079530512578205,0.02079530513,-4.217948906815039e-12
2007,FRA,France,1736159.9,1159731.851,-0.511430952,2.37931088,41320.197,0.6679867741444784,0.3320132258555216,0.6990935691184852,-0.04594509125942203,0.023793108799999997,0.028907418319159106,-0.005114309519159109,-0.00511430952,8.408907251067355e-13
2008,FRA,France,1787460.6,1193200.592,1.290194103,2.231788148,41711.103,0.6675395205913909,0.3324604794086091,0.6970776012900837,-0.0020159678284015214,0.022317881480000003,0.009415940449866156,0.012901941030133847,0.012901941029999999,1.3384779395941848e-13
2009,FRA,France,1743573.3,1200939.289,3.188725719,1.279409855,40922.261,0.6887804997931547,0.3112195002068453,0.7944241906337987,0.09734658934371498,0.012794098549999999,-0.01909315864550898,0.03188725719550898,0.03188725719,5.508982159341258e-12
